OID,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
-1,,32,,32,,,,,Moseley,Lane,,,Moseley Lane,,,,,,,,,Faulkner,Unincorporated,Conway,,,,,,,,,AR,72032,8512,{D4CF3FBF-BED3-4CB3-8A9F-53DD6AACB0B5},045,,-92.362821713780704,35.111639052133597,15SWU5806485609,,Unknown,-92.3628217137807 35.1116390521336,,,,,Numbered Thoroughfare Address,,,,4/10/2020 0:00:00,,,Unknown,,Arkansas Geographic Information Office,
-1,,12338,,12338,,,,,Waverly,Place,,,Waverly Place,,,,,,,,,Culpeper,Culpeper County,Culpeper,,,,,,,,,VA,22701,,{19177AA6-587E-4283-AD5E-C505896FFE61},Culpeper County,,-78.018901911153804,38.443224540934999,17SQC6017659203,,Structure - Rooftop,-78.0189019111538 38.443224540935,,,,,Numbered Thoroughfare Address,,6/2/2022 0:00:00,,6/2/2022 0:00:00,,,Unknown,,Virginia Geographic Information Network,
-1,,10144,,10144,,,,,Trevett,Road,,,Trevett Road,,,,,,,,,Erie,Concord,Springville,,,,,,,,,NY,14141,,{7C3C78C2-DBB8-49A9-889D-88A1588CE2FD},911 Addressing Authority,,-78.729786503205702,42.605274650110999,17TPH8622519480,,Structure - Rooftop,-78.7297865032057 42.605274650111,,,,,Numbered Thoroughfare Address,,,,7/23/2018 20:07:26,,,Unknown,,New York State GIS Program Office,
-1,,4605,,4605,,West,,,LAKE,Circle,South,,West LAKE Circle South,,,,,,,,,Arapahoe,LITTLETON,Not stated,,,,,,,,,CO,80123,,{7387A6AA-2300-4380-AEE4-274054DEA322},,,-105.047359447619002,39.606836090301400,13SDD9593484122,,,-105.047359447619 39.6068360903014,,,,,Numbered Thoroughfare Address,,,,5/1/2022 0:00:00,,,Unknown,,Colorado OIT GIS,
-1,,453,,453,,,,,Madison Hill,Road,,,Madison Hill Road,,,,,,,,,Union,"Union, Clark Township",Clark,,,,,,,,,NJ,07066,2901,{A0704217-CA40-45B5-86DC-F538EF44AAED},NJ Office of GIS,,-74.314219780137805,40.616022915842400,18TWK5800896359,,Structure - Rooftop,-74.31421978013783 40.616022915842436,,,,fa2d607e-e420-45b5-a94f-c18e8b64ebd1,Numbered Thoroughfare Address,,,,1/12/2022 5:45:48,,,Residence,,State of New Jersey,cd082528-c171-457b-9b97-4d5d50795dd7
-1,,3308,,3308,,,,,MAYSVILLE,Street,,,MAYSVILLE Street,,,,,,SGRESR00072**C,SGRESR00072**C,,Greene,BOWERSVILLE,BOWERSVILLE,,BOWERSVILLE,,,,,,,OH,45307,,{834489FE-F237-422A-8BDB-9E16E28ADA74},COUNTY,,-83.724874643095006,39.577186384728499,17SKD6596084377,,Unknown,-83.724874643095 39.5771863847285,,,,,Numbered Thoroughfare Address,,,,1/23/2014 0:00:00,,,Residential,,OHIO LOCATION BASED RESPONSE SYSTEM,
-1,,2221,,2221,,,Farm to Market,,3009,,,,Farm to Market 3009,,,,,,,,,Guadalupe,Unincorporated,SCHERTZ,,,,,,,,,TX,,,{44693429-F380-4E40-B18F-E281ED569AC0},BEXARMETRO911,,-98.265001464999997,29.575058469999998,14RNT7118971925,,Unknown,-98.265001465 29.57505847,,,,,Numbered Thoroughfare Address,,10/4/2021 0:00:00,,7/27/2022 0:00:00,,,Unknown,,"Guadalupe County, Texas",
-1,,1,,1,,,,,Mountain,Avenue,,,Mountain Avenue,,,Apartment 315,,,,Apartment 315,Somerville Senior Citizens Housing,Somerset,"Somerset, Somerville Borough",Somerville,,,,,,,,,NJ,08876,,{54F1937D-5244-4B25-BBAF-D86AA18367B8},Civil Solutions,,-74.620732861045497,40.570724814467397,18TWK3210391174,,Structure - Rooftop,-74.62073286104548 40.570724814467354,,,,472af164-a176-46d0-ad10-2adf657cd2a9,Numbered Thoroughfare Address,,,,6/27/2023 15:56:32,,,Residence,,State of New Jersey,3d400899-97f8-4a3a-970b-eb7f27ac7f45
-1,,2312,,2312,,,,,WOOD BARK,Lane,,,WOOD BARK Lane,,,,,,,,,Prince George's,Unincorporated,SUITLAND,Suitland CDP,,,,,,,,MD,20746,,{975232A1-323C-408E-B0F6-8BA83BD0832F},PRINCE GEORGES COUNTY,,-76.951626906989105,38.859087124762603,18SUJ3066302949,,Unknown,-76.9516269069891 38.8590871247626,,,,,Numbered Thoroughfare Address,,,,6/28/2022 0:00:00,,,Other,,Maryland Department of Information Technology,
-1,,706,,706,,,,,HADSTOCK,Path,,,HADSTOCK Path,,,,,,,,,Wake,ZEBULON,ZEBULON,,,,,,,,,NC,27597,,{2EA79237-3A16-4C40-A4C7-BABCA797266B},,,-78.288196746213302,35.834340036465100,17SQV4494768969,,Unknown,-78.2881967462133 35.8343400364651,,,,,Numbered Thoroughfare Address,,,,2/9/2023 0:00:00,,,Residential,,State of North Carolina,
